Vegetable,Year,Month,MonthNum,Date,Price,Annual_Price
Ampalaya,2023,November,11,11/1/2023,70.91,68.06
Ampalaya,2023,December,12,12/1/2023,65.34,68.06
Ampalaya,2024,January,1,1/1/2024,75.05,73.41
Ampalaya,2024,February,2,2/1/2024,70.82,73.41
Ampalaya,2024,March,3,3/1/2024,65.09,73.41
Ampalaya,2024,April,4,4/1/2024,60.18,73.41
Ampalaya,2024,May,5,5/1/2024,65.11,73.41
Ampalaya,2024,June,6,6/1/2024,70.89,73.41
Ampalaya,2024,July,7,7/1/2024,75.9,73.41
Ampalaya,2024,August,8,8/1/2024,80.12,73.41
Ampalaya,2024,September,9,9/1/2024,85.34,73.41
Ampalaya,2024,October,10,10/1/2024,80.19,73.41
Ampalaya,2024,November,11,11/1/2024,75.03,73.41
Ampalaya,2024,December,12,12/1/2024,70.76,73.41
Beans,2018,January,1,1/1/2018,50.08,48.77
Beans,2018,February,2,2/1/2018,45.19,48.77
Beans,2018,March,3,3/1/2018,40.88,48.77
Beans,2018,April,4,4/1/2018,35.11,48.77
Beans,2018,May,5,5/1/2018,40.92,48.77
Beans,2018,June,6,6/1/2018,45.03,48.77
Beans,2018,July,7,7/1/2018,50.99,48.77
Beans,2018,August,8,8/1/2018,55.07,48.77
Beans,2018,September,9,9/1/2018,60.88,48.77
Beans,2018,October,10,10/1/2018,55.12,48.77
Beans,2018,November,11,11/1/2018,50.05,48.77
Beans,2018,December,12,12/1/2018,45.91,48.77
Beans,2019,January,1,1/1/2019,55.99,53.42
Beans,2019,February,2,2/1/2019,50.03,53.42
Beans,2019,March,3,3/1/2019,45.15,53.42
Beans,2019,April,4,4/1/2019,40.91,53.42
Beans,2019,May,5,5/1/2019,45.88,53.42
Beans,2019,June,6,6/1/2019,50.19,53.42
Beans,2019,July,7,7/1/2019,55.92,53.42
Beans,2019,August,8,8/1/2019,60.17,53.42
Beans,2019,September,9,9/1/2019,65.99,53.42
Beans,2019,October,10,10/1/2019,60.05,53.42
Beans,2019,November,11,11/1/2019,55.88,53.42
Beans,2019,December,12,12/1/2019,50.92,53.42
Beans,2020,January,1,1/1/2020,60.09,58.85
Beans,2020,February,2,2/1/2020,55.92,58.85
Beans,2020,March,3,3/1/2020,50.11,58.85
Beans,2020,April,4,4/1/2020,45.08,58.85
Beans,2020,May,5,5/1/2020,50.99,58.85
Beans,2020,June,6,6/1/2020,55.14,58.85
Beans,2020,July,7,7/1/2020,60.88,58.85
Beans,2020,August,8,8/1/2020,65.05,58.85
Beans,2020,September,9,9/1/2020,70.14,58.85
Beans,2020,October,10,10/1/2020,65.92,58.85
Beans,2020,November,11,11/1/2020,60.03,58.85
Beans,2020,December,12,12/1/2020,55.88,58.85
Beans,2021,January,1,1/1/2021,65.99,63.44
Beans,2021,February,2,2/1/2021,60.05,63.44
Beans,2021,March,3,3/1/2021,55.11,63.44
Beans,2021,April,4,4/1/2021,50.88,63.44
Beans,2021,May,5,5/1/2021,55.03,63.44
Beans,2021,June,6,6/1/2021,60.99,63.44
Beans,2021,July,7,7/1/2021,65.14,63.44
Beans,2021,August,8,8/1/2021,70.88,63.44
Beans,2021,September,9,9/1/2021,75.05,63.44
Beans,2021,October,10,10/1/2021,70.12,63.44
Beans,2021,November,11,11/1/2021,65.92,63.44
Beans,2021,December,12,12/1/2021,60.11,63.44
Beans,2022,January,1,1/1/2022,70.05,68.42
Beans,2022,February,2,2/1/2022,65.92,68.42
Beans,2022,March,3,3/1/2022,60.11,68.42
Beans,2022,April,4,4/1/2022,55.03,68.42
Beans,2022,May,5,5/1/2022,60.88,68.42
Beans,2022,June,6,6/1/2022,65.99,68.42
Beans,2022,July,7,7/1/2022,70.12,68.42
Beans,2022,August,8,8/1/2022,75.05,68.42
Beans,2022,September,9,9/1/2022,80.99,68.42
Beans,2022,October,10,10/1/2022,75.14,68.42
Beans,2022,November,11,11/1/2022,70.88,68.42
Beans,2022,December,12,12/1/2022,65.92,68.42
Beans,2023,January,1,1/1/2023,75.03,73.85
Beans,2023,February,2,2/1/2023,70.99,73.85
Beans,2023,March,3,3/1/2023,65.12,73.85
Beans,2023,April,4,4/1/2023,60.88,73.85
Beans,2023,May,5,5/1/2023,65.05,73.85
Beans,2023,June,6,6/1/2023,70.03,73.85
Beans,2023,July,7,7/1/2023,75.92,73.85
Beans,2023,August,8,8/1/2023,80.11,73.85
Beans,2023,September,9,9/1/2023,85.88,73.85
Beans,2023,October,10,10/1/2023,80.05,73.85
Beans,2023,November,11,11/1/2023,75.99,73.85
Beans,2023,December,12,12/1/2023,70.14,73.85
Beans,2024,January,1,1/1/2024,80.05,78.77
Beans,2024,February,2,2/1/2024,75.14,78.77
Beans,2024,March,3,3/1/2024,70.99,78.77
Beans,2024,April,4,4/1/2024,65.05,78.77
Beans,2024,May,5,5/1/2024,70.88,78.77
Beans,2024,June,6,6/1/2024,75.92,78.77
Beans,2024,July,7,7/1/2024,80.11,78.77
Beans,2024,August,8,8/1/2024,85.03,78.77
Beans,2024,September,9,9/1/2024,90.99,78.77
Beans,2024,October,10,10/1/2024,85.88,78.77
Beans,2024,November,11,11/1/2024,80.09,78.77
Beans,2024,December,12,12/1/2024,75.12,78.77
Cabbage,2018,February,2,2/1/2018,69.06,80.68
Cabbage,2018,March,3,3/1/2018,67.27,80.68
Cabbage,2018,April,4,4/1/2018,66.78,80.68
Cabbage,2018,May,5,5/1/2018,65.81,80.68
Cabbage,2018,June,6,6/1/2018,75.3,80.68
Cabbage,2018,July,7,7/1/2018,80.03,80.68
Cabbage,2018,August,8,8/1/2018,83.46,80.68
Cabbage,2018,September,9,9/1/2018,103.2,80.68
Cabbage,2018,October,10,10/1/2018,105.43,80.68
Cabbage,2018,November,11,11/1/2018,95.46,80.68
Cabbage,2018,December,12,12/1/2018,82.6,80.68
Cabbage,2019,January,1,1/1/2019,77.11,75.67
Cabbage,2019,February,2,2/1/2019,70.6,75.67
Cabbage,2019,March,3,3/1/2019,68.74,75.67
Cabbage,2019,April,4,4/1/2019,69.63,75.67
Cabbage,2019,May,5,5/1/2019,80.49,75.67
Cabbage,2019,June,6,6/1/2019,83.03,75.67
Cabbage,2019,July,7,7/1/2019,76.89,75.67
Cabbage,2019,August,8,8/1/2019,72.17,75.67
Cabbage,2019,September,9,9/1/2019,73.89,75.67
Cabbage,2019,October,10,10/1/2019,81.05,75.67
Cabbage,2019,November,11,11/1/2019,79.81,75.67
Cabbage,2019,December,12,12/1/2019,74.6,75.67
Cabbage,2020,January,1,1/1/2020,70.69,74.92
Cabbage,2020,February,2,2/1/2020,65.8,74.92
Cabbage,2020,March,3,3/1/2020,63.87,74.92
Cabbage,2020,April,4,4/1/2020,73.51,74.92
Cabbage,2020,May,5,5/1/2020,82.84,74.92
Cabbage,2020,June,6,6/1/2020,85.1,74.92
Cabbage,2020,July,7,7/1/2020,78.14,74.92
Cabbage,2020,August,8,8/1/2020,69.5,74.92
Cabbage,2020,September,9,9/1/2020,65.1,74.92
Cabbage,2020,October,10,10/1/2020,65.41,74.92
Cabbage,2020,November,11,11/1/2020,76.97,74.92
Cabbage,2020,December,12,12/1/2020,102.11,74.92
Cabbage,2021,January,1,1/1/2021,124.53,91.12
Cabbage,2021,February,2,2/1/2021,116.0,91.12
Cabbage,2021,March,3,3/1/2021,87.71,91.12
Cabbage,2021,April,4,4/1/2021,71.78,91.12
Cabbage,2021,May,5,5/1/2021,65.64,91.12
Cabbage,2021,June,6,6/1/2021,63.84,91.12
Cabbage,2021,July,7,7/1/2021,76.79,91.12
Cabbage,2021,August,8,8/1/2021,94.69,91.12
Cabbage,2021,September,9,9/1/2021,105.94,91.12
Cabbage,2021,October,10,10/1/2021,102.95,91.12
Cabbage,2021,November,11,11/1/2021,98.07,91.12
Cabbage,2021,December,12,12/1/2021,85.5,91.12
Cabbage,2022,January,1,1/1/2022,86.81,81.76
Cabbage,2022,February,2,2/1/2022,75.58,81.76
Cabbage,2022,March,3,3/1/2022,67.05,81.76
Cabbage,2022,April,4,4/1/2022,68.87,81.76
Cabbage,2022,May,5,5/1/2022,73.52,81.76
Cabbage,2022,June,6,6/1/2022,75.57,81.76
Cabbage,2022,July,7,7/1/2022,76.77,81.76
Cabbage,2022,August,8,8/1/2022,75.79,81.76
Cabbage,2022,September,9,9/1/2022,77.56,81.76
Cabbage,2022,October,10,10/1/2022,82.11,81.76
Cabbage,2022,November,11,11/1/2022,91.88,81.76
Cabbage,2022,December,12,12/1/2022,105.84,81.76
Cabbage,2023,January,1,1/1/2023,98.95,92.47
Cabbage,2023,February,2,2/1/2023,88.91,92.47
Cabbage,2023,March,3,3/1/2023,80.53,92.47
Cabbage,2023,April,4,4/1/2023,75.74,92.47
Cabbage,2023,May,5,5/1/2023,74.35,92.47
Cabbage,2023,June,6,6/1/2023,75.76,92.47
Cabbage,2023,July,7,7/1/2023,96.24,92.47
Cabbage,2023,August,8,8/1/2023,110.46,92.47
Cabbage,2023,September,9,9/1/2023,107.74,92.47
Cabbage,2023,October,10,10/1/2023,111.82,92.47
Cabbage,2023,November,11,11/1/2023,102.48,92.47
Cabbage,2023,December,12,12/1/2023,86.63,92.47
Cabbage,2024,January,1,1/1/2024,78.69,86.37
Cabbage,2024,February,2,2/1/2024,73.88,86.37
Cabbage,2024,March,3,3/1/2024,74.26,86.37
Cabbage,2024,April,4,4/1/2024,76.04,86.37
Cabbage,2024,May,5,5/1/2024,86.89,86.37
Cabbage,2024,June,6,6/1/2024,90.87,86.37
Cabbage,2024,July,7,7/1/2024,92.54,86.37
Cabbage,2024,August,8,8/1/2024,83.1,86.37
Cabbage,2024,September,9,9/1/2024,76.37,86.37
Cabbage,2024,October,10,10/1/2024,84.88,86.37
Cabbage,2024,November,11,11/1/2024,111.18,86.37
Cabbage,2024,December,12,12/1/2024,107.79,86.37
Cassava,2018,January,1,1/1/2018,35.99,33.84
Cassava,2018,February,2,2/1/2018,30.14,33.84
Cassava,2018,March,3,3/1/2018,28.05,33.84
Cassava,2018,April,4,4/1/2018,25.91,33.84
Cassava,2018,May,5,5/1/2018,28.17,33.84
Cassava,2018,June,6,6/1/2018,30.88,33.84
Cassava,2018,July,7,7/1/2018,35.19,33.84
Cassava,2018,August,8,8/1/2018,40.22,33.84
Cassava,2018,September,9,9/1/2018,45.03,33.84
Cassava,2018,October,10,10/1/2018,40.89,33.84
Cassava,2018,November,11,11/1/2018,35.11,33.84
Cassava,2018,December,12,12/1/2018,30.66,33.84
Cassava,2019,January,1,1/1/2019,40.18,38.87
Cassava,2019,February,2,2/1/2019,35.99,38.87
Cassava,2019,March,3,3/1/2019,33.15,38.87
Cassava,2019,April,4,4/1/2019,30.08,38.87
Cassava,2019,May,5,5/1/2019,33.09,38.87
Cassava,2019,June,6,6/1/2019,35.88,38.87
Cassava,2019,July,7,7/1/2019,40.16,38.87
Cassava,2019,August,8,8/1/2019,45.92,38.87
Cassava,2019,September,9,9/1/2019,50.04,38.87
Cassava,2019,October,10,10/1/2019,45.19,38.87
Cassava,2019,November,11,11/1/2019,40.91,38.87
Cassava,2019,December,12,12/1/2019,35.88,38.87
Cassava,2020,January,1,1/1/2020,45.88,43.86
Cassava,2020,February,2,2/1/2020,40.15,43.86
Cassava,2020,March,3,3/1/2020,38.05,43.86
Cassava,2020,April,4,4/1/2020,35.92,43.86
Cassava,2020,May,5,5/1/2020,38.1,43.86
Cassava,2020,June,6,6/1/2020,40.09,43.86
Cassava,2020,July,7,7/1/2020,45.99,43.86
Cassava,2020,August,8,8/1/2020,50.14,43.86
Cassava,2020,September,9,9/1/2020,55.03,43.86
Cassava,2020,October,10,10/1/2020,50.91,43.86
Cassava,2020,November,11,11/1/2020,45.88,43.86
Cassava,2020,December,12,12/1/2020,40.15,43.86
Cassava,2021,January,1,1/1/2021,50.91,49.09
Cassava,2021,February,2,2/1/2021,45.1,49.09
Cassava,2021,March,3,3/1/2021,43.88,49.09
Cassava,2021,April,4,4/1/2021,40.15,49.09
Cassava,2021,May,5,5/1/2021,43.92,49.09
Cassava,2021,June,6,6/1/2021,45.08,49.09
Cassava,2021,July,7,7/1/2021,50.99,49.09
Cassava,2021,August,8,8/1/2021,55.88,49.09
Cassava,2021,September,9,9/1/2021,60.03,49.09
Cassava,2021,October,10,10/1/2021,55.12,49.09
Cassava,2021,November,11,11/1/2021,50.14,49.09
Cassava,2021,December,12,12/1/2021,45.89,49.09
Cassava,2022,January,1,1/1/2022,55.03,53.85
Cassava,2022,February,2,2/1/2022,50.99,53.85
Cassava,2022,March,3,3/1/2022,48.05,53.85
Cassava,2022,April,4,4/1/2022,45.92,53.85
Cassava,2022,May,5,5/1/2022,48.11,53.85
Cassava,2022,June,6,6/1/2022,50.03,53.85
Cassava,2022,July,7,7/1/2022,55.88,53.85
Cassava,2022,August,8,8/1/2022,60.91,53.85
Cassava,2022,September,9,9/1/2022,65.05,53.85
Cassava,2022,October,10,10/1/2022,60.12,53.85
Cassava,2022,November,11,11/1/2022,55.99,53.85
Cassava,2022,December,12,12/1/2022,50.15,53.85
Cassava,2023,January,1,1/1/2023,60.15,58.93
Cassava,2023,February,2,2/1/2023,55.03,58.93
Cassava,2023,March,3,3/1/2023,53.99,58.93
Cassava,2023,April,4,4/1/2023,50.05,58.93
Cassava,2023,May,5,5/1/2023,53.88,58.93
Cassava,2023,June,6,6/1/2023,55.12,58.93
Cassava,2023,July,7,7/1/2023,60.99,58.93
Cassava,2023,August,8,8/1/2023,65.05,58.93
Cassava,2023,September,9,9/1/2023,70.88,58.93
Cassava,2023,October,10,10/1/2023,65.12,58.93
Cassava,2023,November,11,11/1/2023,60.03,58.93
Cassava,2023,December,12,12/1/2023,55.91,58.93
Cassava,2024,January,1,1/1/2024,65.92,64.03
Cassava,2024,February,2,2/1/2024,60.15,64.03
Cassava,2024,March,3,3/1/2024,58.05,64.03
Cassava,2024,April,4,4/1/2024,55.99,64.03
Cassava,2024,May,5,5/1/2024,58.11,64.03
Cassava,2024,June,6,6/1/2024,60.05,64.03
Cassava,2024,July,7,7/1/2024,65.12,64.03
Cassava,2024,August,8,8/1/2024,70.99,64.03
Cassava,2024,September,9,9/1/2024,75.03,64.03
Cassava,2024,October,10,10/1/2024,70.88,64.03
Cassava,2024,November,11,11/1/2024,65.14,64.03
Cassava,2024,December,12,12/1/2024,60.92,64.03
Celery,2018,January,1,1/1/2018,73.54,75.75
Celery,2018,February,2,2/1/2018,83.19,85.69
Celery,2018,March,3,3/1/2018,84.3,86.83
Celery,2018,April,4,4/1/2018,93.68,96.49
Celery,2018,May,5,5/1/2018,97.67,100.6
Celery,2018,June,6,6/1/2018,96.35,99.24
Celery,2018,July,7,7/1/2018,90.3,93.01
Celery,2018,August,8,8/1/2018,89.69,92.38
Celery,2018,September,9,9/1/2018,85.94,88.52
Celery,2018,October,10,10/1/2018,74.39,76.62
Celery,2018,November,11,11/1/2018,73.28,75.48
Celery,2018,December,12,12/1/2018,67.98,70.02
Celery,2019,January,1,1/1/2019,74.29,76.52
Celery,2019,February,2,2/1/2019,79.75,82.14
Celery,2019,March,3,3/1/2019,84.12,86.64
Celery,2019,April,4,4/1/2019,96.93,99.84
Celery,2019,May,5,5/1/2019,92.87,95.66
Celery,2019,June,6,6/1/2019,94.09,96.91
Celery,2019,July,7,7/1/2019,90.16,92.86
Celery,2019,August,8,8/1/2019,91.97,94.73
Celery,2019,September,9,9/1/2019,85.51,88.08
Celery,2019,October,10,10/1/2019,77.72,80.05
Celery,2019,November,11,11/1/2019,71.8,73.95
Celery,2019,December,12,12/1/2019,75.42,77.68
Celery,2020,January,1,1/1/2020,68.67,70.73
Celery,2020,February,2,2/1/2020,77.47,79.79
Celery,2020,March,3,3/1/2020,86.84,89.45
Celery,2020,April,4,4/1/2020,94.17,97.0
Celery,2020,May,5,5/1/2020,95.11,97.96
Celery,2020,June,6,6/1/2020,100.68,103.7
Celery,2020,July,7,7/1/2020,95.48,98.34
Celery,2020,August,8,8/1/2020,87.79,90.42
Celery,2020,September,9,9/1/2020,89.07,91.74
Celery,2020,October,10,10/1/2020,81.64,84.09
Celery,2020,November,11,11/1/2020,72.02,74.18
Celery,2020,December,12,12/1/2020,76.86,79.17
Celery,2021,January,1,1/1/2021,78.65,81.01
Celery,2021,February,2,2/1/2021,81.09,83.52
Celery,2021,March,3,3/1/2021,84.1,86.62
Celery,2021,April,4,4/1/2021,85.41,87.97
Celery,2021,May,5,5/1/2021,97.11,100.02
Celery,2021,June,6,6/1/2021,96.2,99.09
Celery,2021,July,7,7/1/2021,94.54,97.38
Celery,2021,August,8,8/1/2021,92.36,95.13
Celery,2021,September,9,9/1/2021,86.54,89.14
Celery,2021,October,10,10/1/2021,81.53,83.98
Celery,2021,November,11,11/1/2021,72.98,75.17
Celery,2021,December,12,12/1/2021,67.86,69.9
Celery,2022,January,1,1/1/2022,74.74,76.98
Celery,2022,February,2,2/1/2022,77.92,80.26
Celery,2022,March,3,3/1/2022,83.74,86.25
Celery,2022,April,4,4/1/2022,88.97,91.64
Celery,2022,May,5,5/1/2022,97.25,100.17
Celery,2022,June,6,6/1/2022,98.27,101.22
Celery,2022,July,7,7/1/2022,95.82,98.69
Celery,2022,August,8,8/1/2022,91.3,94.04
Celery,2022,September,9,9/1/2022,92.39,95.16
Celery,2022,October,10,10/1/2022,79.53,81.92
Celery,2022,November,11,11/1/2022,70.45,72.56
Celery,2022,December,12,12/1/2022,74.51,76.75
Celery,2023,January,1,1/1/2023,71.23,73.37
Celery,2023,February,2,2/1/2023,74.42,76.65
Celery,2023,March,3,3/1/2023,91.57,94.32
Celery,2023,April,4,4/1/2023,89.68,92.37
Celery,2023,May,5,5/1/2023,94.53,97.37
Celery,2023,June,6,6/1/2023,97.96,100.9
Celery,2023,July,7,7/1/2023,97.46,100.38
Celery,2023,August,8,8/1/2023,96.02,98.9
Celery,2023,September,9,9/1/2023,84.03,86.55
Celery,2023,October,10,10/1/2023,74.93,77.18
Celery,2023,November,11,11/1/2023,77.88,80.22
Celery,2023,December,12,12/1/2023,72.8,74.98
Celery,2024,January,1,1/1/2024,76.3,78.59
Celery,2024,February,2,2/1/2024,74.66,76.9
Celery,2024,March,3,3/1/2024,85.89,88.47
Celery,2024,April,4,4/1/2024,92.41,95.18
Celery,2024,May,5,5/1/2024,96.74,99.64
Celery,2024,June,6,6/1/2024,95.61,98.48
Celery,2024,July,7,7/1/2024,97.46,100.38
Celery,2024,August,8,8/1/2024,93.34,96.14
Celery,2024,September,9,9/1/2024,87.36,89.98
Celery,2024,October,10,10/1/2024,76.16,78.44
Celery,2024,November,11,11/1/2024,75.2,77.46
Celery,2024,December,12,12/1/2024,77.94,80.28
Cucumber,2018,January,1,1/1/2018,25.43,24.55
Cucumber,2018,February,2,2/1/2018,20.37,24.55
Cucumber,2018,March,3,3/1/2018,18.06,24.55
Cucumber,2018,April,4,4/1/2018,15.69,24.55
Cucumber,2018,May,5,5/1/2018,18.91,24.55
Cucumber,2018,June,6,6/1/2018,20.14,24.55
Cucumber,2018,July,7,7/1/2018,25.85,24.55
Cucumber,2018,August,8,8/1/2018,30.08,24.55
Cucumber,2018,September,9,9/1/2018,35.77,24.55
Cucumber,2018,October,10,10/1/2018,30.65,24.55
Cucumber,2018,November,11,11/1/2018,28.52,24.55
Cucumber,2018,December,12,12/1/2018,25.1,24.55
Cucumber,2019,January,1,1/1/2019,28.32,27.52
Cucumber,2019,February,2,2/1/2019,23.49,27.52
Cucumber,2019,March,3,3/1/2019,21.03,27.52
Cucumber,2019,April,4,4/1/2019,18.88,27.52
Cucumber,2019,May,5,5/1/2019,21.41,27.52
Cucumber,2019,June,6,6/1/2019,23.55,27.52
Cucumber,2019,July,7,7/1/2019,28.27,27.52
Cucumber,2019,August,8,8/1/2019,33.72,27.52
Cucumber,2019,September,9,9/1/2019,38.01,27.52
Cucumber,2019,October,10,10/1/2019,33.58,27.52
Cucumber,2019,November,11,11/1/2019,31.06,27.52
Cucumber,2019,December,12,12/1/2019,28.93,27.52
Cucumber,2020,January,1,1/1/2020,31.09,30.73
Cucumber,2020,February,2,2/1/2020,26.55,30.73
Cucumber,2020,March,3,3/1/2020,24.21,30.73
Cucumber,2020,April,4,4/1/2020,21.64,30.73
Cucumber,2020,May,5,5/1/2020,24.18,30.73
Cucumber,2020,June,6,6/1/2020,26.33,30.73
Cucumber,2020,July,7,7/1/2020,31.87,30.73
Cucumber,2020,August,8,8/1/2020,36.6,30.73
Cucumber,2020,September,9,9/1/2020,41.52,30.73
Cucumber,2020,October,10,10/1/2020,36.29,30.73
Cucumber,2020,November,11,11/1/2020,34.9,30.73
Cucumber,2020,December,12,12/1/2020,31.54,30.73
Cucumber,2021,January,1,1/1/2021,34.78,33.46
Cucumber,2021,February,2,2/1/2021,29.8,33.46
Cucumber,2021,March,3,3/1/2021,27.05,33.46
Cucumber,2021,April,4,4/1/2021,24.16,33.46
Cucumber,2021,May,5,5/1/2021,27.63,33.46
Cucumber,2021,June,6,6/1/2021,29.89,33.46
Cucumber,2021,July,7,7/1/2021,34.09,33.46
Cucumber,2021,August,8,8/1/2021,39.04,33.46
Cucumber,2021,September,9,9/1/2021,44.57,33.46
Cucumber,2021,October,10,10/1/2021,39.46,33.46
Cucumber,2021,November,11,11/1/2021,37.07,33.46
Cucumber,2021,December,12,12/1/2021,34.03,33.46
Cucumber,2022,January,1,1/1/2022,37.95,36.33
Cucumber,2022,February,2,2/1/2022,32.31,36.33
Cucumber,2022,March,3,3/1/2022,30.4,36.33
Cucumber,2022,April,4,4/1/2022,27.87,36.33
Cucumber,2022,May,5,5/1/2022,30.58,36.33
Cucumber,2022,June,6,6/1/2022,32.61,36.33
Cucumber,2022,July,7,7/1/2022,37.23,36.33
Cucumber,2022,August,8,8/1/2022,42.06,36.33
Cucumber,2022,September,9,9/1/2022,47.11,36.33
Cucumber,2022,October,10,10/1/2022,42.64,36.33
Cucumber,2022,November,11,11/1/2022,40.09,36.33
Cucumber,2022,December,12,12/1/2022,37.15,36.33
Cucumber,2023,January,1,1/1/2023,40.02,39.95
Cucumber,2023,February,2,2/1/2023,35.84,39.95
Cucumber,2023,March,3,3/1/2023,33.26,39.95
Cucumber,2023,April,4,4/1/2023,30.34,39.95
Cucumber,2023,May,5,5/1/2023,33.68,39.95
Cucumber,2023,June,6,6/1/2023,35.03,39.95
Cucumber,2023,July,7,7/1/2023,40.91,39.95
Cucumber,2023,August,8,8/1/2023,45.42,39.95
Cucumber,2023,September,9,9/1/2023,50.18,39.95
Cucumber,2023,October,10,10/1/2023,45.99,39.95
Cucumber,2023,November,11,11/1/2023,43.07,39.95
Cucumber,2023,December,12,12/1/2023,40.66,39.95
Cucumber,2024,January,1,1/1/2024,43.14,42.48
Cucumber,2024,February,2,2/1/2024,38.7,42.48
Cucumber,2024,March,3,3/1/2024,36.33,42.48
Cucumber,2024,April,4,4/1/2024,33.65,42.48
Cucumber,2024,May,5,5/1/2024,36.56,42.48
Cucumber,2024,June,6,6/1/2024,38.3,42.48
Cucumber,2024,July,7,7/1/2024,43.19,42.48
Cucumber,2024,August,8,8/1/2024,48.01,42.48
Cucumber,2024,September,9,9/1/2024,53.79,42.48
Cucumber,2024,October,10,10/1/2024,48.42,42.48
Cucumber,2024,November,11,11/1/2024,46.54,42.48
Cucumber,2024,December,12,12/1/2024,43.08,42.48
Gabi,2018,January,1,1/1/2018,40.92,41.59
Gabi,2018,February,2,2/1/2018,35.11,41.59
Gabi,2018,March,3,3/1/2018,30.99,41.59
Gabi,2018,April,4,4/1/2018,28.05,41.59
Gabi,2018,May,5,5/1/2018,35.12,41.59
Gabi,2018,June,6,6/1/2018,40.88,41.59
Gabi,2018,July,7,7/1/2018,45.99,41.59
