PHILIPPINES,Year,Month,Price,Annual Price,MonthNum,Date
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2018,January,15.14,16.05,1,1/1/2018
"OKRA, 1 KG",2018,January,35.84,37,1,1/1/2018
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2018,January,85.34,93.32,1,1/1/2018
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2018,January,55.45,54.16,1,1/1/2018
"SAMPALOC (TAMARIND), 1 KG",2018,January,70.19,68.46,1,1/1/2018
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2018,January,38.45,37.77,1,1/1/2018
"PATOLA (SPONGE GOURD), 1 KG",2018,January,30.55,32.69,1,1/1/2018
"PATANI (LIMA BEAN), 1 KG",2018,January,35.8,37.47,1,1/1/2018
"SALUYOT (JUTE MALLOW), 1 KG",2018,January,30.12,31.77,1,1/1/2018
"KADYOS (PIGEON BEAN), 1 KG",2018,January,50.88,48.43,1,1/1/2018
"BATAW (HYACINTH BEAN), 1 KG",2018,January,40.16,38.3,1,1/1/2018
"KAMOTENG KAHOY (CASSAVA), 1 KG",2018,January,35.99,33.84,1,1/1/2018
"GABI (TARRO), 1 KG",2018,January,45.12,47.75,1,1/1/2018
"SILING-TAMBAN (BELL PEPPER), 1 KG",2018,January,70.92,70.18,1,1/1/2018
"PATATAS (POTATO), 1 KG",2018,January,60.33,58.72,1,1/1/2018
"LETTUCE (LITSUGAS), 1 KG",2018,January,80.14,79.54,1,1/1/2018
"GREEN BEANS (BAGUIO BEANS), 1 KG",2018,January,50.08,48.77,1,1/1/2018
"SILING LABUYO (RED CHILI), 1 KG",2018,January,80.12,78.28,1,1/1/2018
"KOLITIS/URAY (AMARANTH), 1 KG",2018,January,35.09,37.36,1,1/1/2018
"TOGUE (BEAN SPROUTS), 1 KG",2018,January,20.03,19.43,1,1/1/2018
"PAKO (FIDDLEHEAD FERN), 1 KG",2018,January,50.88,47.44,1,1/1/2018
"MUSHROOM (OYSTER/FRESH), 1 KG",2018,January,120.15,129.28,1,1/1/2018
"TANGLAD (LEMON GRASS), 1 KG",2018,January,10.15,12.76,1,1/1/2018
"KUTSAY (CHIVES), 1 KG",2018,January,30.99,31.77,1,1/1/2018
"LABONG (BAMBOO SHOOT), 1 KG",2018,January,40.05,38.65,1,1/1/2018
"ARARU (ARROWROOT), 1 KG",2018,January,70.15,69.34,1,1/1/2018
"KAMOTE (SWEET POTATO), 1 KG",2018,January,35.15,37.47,1,1/1/2018
"GABI (TARO), 1 KG",2018,January,40.92,41.59,1,1/1/2018
"UBE (PURPLE YAM), 1 KG",2018,January,50.99,48.45,1,1/1/2018
"SINANDOMENG RICE, 1 KG",2018,January,39.85,42,1,1/1/2018
"DINORADO RICE, 1 KG",2018,January,43.73,44.54,1,1/1/2018
"JASMINE RICE, 1 KG",2018,January,44.88,46.22,1,1/1/2018
"MALAGKIT (STICKY RICE), 1 KG",2018,January,47.62,48.24,1,1/1/2018
"MILAGROSA RICE, 1 KG",2018,January,38.04,39.82,1,1/1/2018
"PINAWA (BROWN RICE), 1 KG",2018,January,55.34,55.01,1,1/1/2018
"PULANG BIGAS (RED RICE), 1 KG",2018,January,51.71,52.19,1,1/1/2018
"REPOLYO (CABBAGE), 1 KG",2019,January,77.11,75.67,1,1/1/2019
"KOLIFLOWER (CAULIFLOWER), 1 KG",2019,January,121.1,119.31,1,1/1/2019
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2019,January,32.12,31.66,1,1/1/2019
"ALUGBATI (MALABAR SPINACH), 1 KG",2019,January,53.38,52.65,1,1/1/2019
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2019,January,35.58,34.84,1,1/1/2019
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2019,January,33.56,34.58,1,1/1/2019
"GABI LEAVES (DAHON NG GABI), 1 KG",2019,January,70.77,70.02,1,1/1/2019
"KANGKONG (WATER SPINACH), 1 KG",2019,January,34.75,33.78,1,1/1/2019
"MALUNGGAY (MORINGA), 1 KG",2019,January,52.02,49.44,1,1/1/2019
"BOK CHOY (CHINESE CABBAGE), 1 KG",2019,January,64.89,67.98,1,1/1/2019
"PECHAY (NATIVE), 1 KG",2019,January,68.31,66.4,1,1/1/2019
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2019,January,93.38,98.98,1,1/1/2019
"SILING LABUYO (WILD CHILI), 1 KG",2019,January,205.97,214.77,1,1/1/2019
"SIBUYAS (ONION), 1 KG",2019,January,145.45,150.39,1,1/1/2019
"LABANOS (RADISH), 1 KG",2019,January,35.43,33.26,1,1/1/2019
"SITAW (STRING BEAN), 1 KG",2019,January,40.75,43.07,1,1/1/2019
"AMPALAYA (BITTER GOURD), 1 KG",2019,January,50.55,48.45,1,1/1/2019
"UPO (BOTTLE GOURD), 1 KG",2019,January,40.85,38.09,1,1/1/2019
"TALONG (EGGPLANT), (NATIVE), 1 KG",2019,January,40.17,38.44,1,1/1/2019
"LUYA (GINGER), 1 KG",2019,January,100.67,110.92,1,1/1/2019
"BAWANG (GARLIC), 1 KG",2019,January,195.91,193.04,1,1/1/2019
"KAMATIS (TOMATO), 1 KG",2019,January,50.62,53.72,1,1/1/2019
"KAROT (CARROT), 1 KG",2019,January,60.44,61.4,1,1/1/2019
"BROKOLI (BROCCOLI), 1 KG",2019,January,130.17,128.91,1,1/1/2019
"SINGKAMAS (JICAMA), 1 KG",2019,January,28.32,27.52,1,1/1/2019
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2019,January,130.68,128.91,1,1/1/2019
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2019,January,53.07,55.7,1,1/1/2019
"MUSTASA (MUSTARD LEAVE), 1 KG",2019,January,38.07,38.33,1,1/1/2019
"SAYOTE (CHAYOTE), 1 KG",2019,January,31.62,31.25,1,1/1/2019
"KALABASA (SQUASH), 1 KG",2019,January,22.88,24.58,1,1/1/2019
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2019,January,17.66,18.16,1,1/1/2019
"OKRA, 1 KG",2019,January,40.95,42.06,1,1/1/2019
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2019,January,95.88,104.28,1,1/1/2019
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2019,January,60.1,59.92,1,1/1/2019
"SAMPALOC (TAMARIND), 1 KG",2019,January,75.39,73.54,1,1/1/2019
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2019,January,43.15,42.51,1,1/1/2019
"PATOLA (SPONGE GOURD), 1 KG",2019,January,35.66,37.68,1,1/1/2019
"PATANI (LIMA BEAN), 1 KG",2019,January,40.15,42.22,1,1/1/2019
"SALUYOT (JUTE MALLOW), 1 KG",2019,January,35.09,36.81,1,1/1/2019
"KADYOS (PIGEON BEAN), 1 KG",2019,January,55.19,53.84,1,1/1/2019
"BATAW (HYACINTH BEAN), 1 KG",2019,January,45.99,43.37,1,1/1/2019
"KAMOTENG KAHOY (CASSAVA), 1 KG",2019,January,40.18,38.87,1,1/1/2019
"GABI (TARRO), 1 KG",2019,January,50.99,53.74,1,1/1/2019
"SILING-TAMBAN (BELL PEPPER), 1 KG",2019,January,75.05,75.44,1,1/1/2019
"PATATAS (POTATO), 1 KG",2019,January,65.92,63.83,1,1/1/2019
"LETTUCE (LITSUGAS), 1 KG",2019,January,85.92,84.32,1,1/1/2019
"GREEN BEANS (BAGUIO BEANS), 1 KG",2019,January,55.99,53.42,1,1/1/2019
"SILING LABUYO (RED CHILI), 1 KG",2019,January,85.99,83.84,1,1/1/2019
"KOLITIS/URAY (AMARANTH), 1 KG",2019,January,40.15,42.39,1,1/1/2019
"TOGUE (BEAN SPROUTS), 1 KG",2019,January,22.88,22.34,1,1/1/2019
"PAKO (FIDDLEHEAD FERN), 1 KG",2019,January,55.92,52.99,1,1/1/2019
"MUSHROOM (OYSTER/FRESH), 1 KG",2019,January,130.88,138.42,1,1/1/2019
"TANGLAD (LEMON GRASS), 1 KG",2019,January,12.01,14.85,1,1/1/2019
"KUTSAY (CHIVES), 1 KG",2019,January,35.15,37.94,1,1/1/2019
"LABONG (BAMBOO SHOOT), 1 KG",2019,January,45.99,43.34,1,1/1/2019
"ARARU (ARROWROOT), 1 KG",2019,January,75.88,73.42,1,1/1/2019
"KAMOTE (SWEET POTATO), 1 KG",2019,January,40.03,41.93,1,1/1/2019
"GABI (TARO), 1 KG",2019,January,45.88,46.35,1,1/1/2019
"UBE (PURPLE YAM), 1 KG",2019,January,55.88,53.83,1,1/1/2019
"SINANDOMENG RICE, 1 KG",2019,January,43.75,43.81,1,1/1/2019
"DINORADO RICE, 1 KG",2019,January,46.33,46.99,1,1/1/2019
"JASMINE RICE, 1 KG",2019,January,47.66,48.58,1,1/1/2019
"MALAGKIT (STICKY RICE), 1 KG",2019,January,48.7,50.11,1,1/1/2019
"MILAGROSA RICE, 1 KG",2019,January,42.13,41.91,1,1/1/2019
"PINAWA (BROWN RICE), 1 KG",2019,January,57.95,58.18,1,1/1/2019
"PULANG BIGAS (RED RICE), 1 KG",2019,January,53.44,54.45,1,1/1/2019
"REPOLYO (CABBAGE), 1 KG",2020,January,70.69,74.92,1,1/1/2020
"KOLIFLOWER (CAULIFLOWER), 1 KG",2020,January,97.64,100.46,1,1/1/2020
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2020,January,31.63,31.52,1,1/1/2020
"ALUGBATI (MALABAR SPINACH), 1 KG",2020,January,54.97,55.62,1,1/1/2020
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2020,January,35.77,36.2,1,1/1/2020
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2020,January,29.79,32.82,1,1/1/2020
"GABI LEAVES (DAHON NG GABI), 1 KG",2020,January,74.9,75.57,1,1/1/2020
"KANGKONG (WATER SPINACH), 1 KG",2020,January,33.55,35.53,1,1/1/2020
"MALUNGGAY (MORINGA), 1 KG",2020,January,46.24,44.85,1,1/1/2020
"BOK CHOY (CHINESE CABBAGE), 1 KG",2020,January,59.15,62.33,1,1/1/2020
"PECHAY (NATIVE), 1 KG",2020,January,66.96,68.3,1,1/1/2020
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2020,January,107.01,104.21,1,1/1/2020
"SILING LABUYO (WILD CHILI), 1 KG",2020,January,225.48,236.17,1,1/1/2020
"SIBUYAS (ONION), 1 KG",2020,January,160.99,167.65,1,1/1/2020
"LABANOS (RADISH), 1 KG",2020,January,40.13,37.69,1,1/1/2020
"SITAW (STRING BEAN), 1 KG",2020,January,45.99,47.13,1,1/1/2020
"AMPALAYA (BITTER GOURD), 1 KG",2020,January,55.87,53.07,1,1/1/2020
"UPO (BOTTLE GOURD), 1 KG",2020,January,45.39,43.17,1,1/1/2020
"TALONG (EGGPLANT), (NATIVE), 1 KG",2020,January,45.84,43.23,1,1/1/2020
"LUYA (GINGER), 1 KG",2020,January,110.41,120.42,1,1/1/2020
"BAWANG (GARLIC), 1 KG",2020,January,210.15,206.77,1,1/1/2020
"KAMATIS (TOMATO), 1 KG",2020,January,55.95,58.21,1,1/1/2020
"KAROT (CARROT), 1 KG",2020,January,65.73,66.4,1,1/1/2020
"BROKOLI (BROCCOLI), 1 KG",2020,January,140.06,138.97,1,1/1/2020
"SINGKAMAS (JICAMA), 1 KG",2020,January,31.09,30.73,1,1/1/2020
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2020,January,140.77,138.96,1,1/1/2020
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2020,January,56.4,59.54,1,1/1/2020
"MUSTASA (MUSTARD LEAVE), 1 KG",2020,January,41.66,41.08,1,1/1/2020
"SAYOTE (CHAYOTE), 1 KG",2020,January,34.9,33.92,1,1/1/2020
"KALABASA (SQUASH), 1 KG",2020,January,25.99,27.42,1,1/1/2020
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2020,January,20.01,21.24,1,1/1/2020
"OKRA, 1 KG",2020,January,45.18,47.22,1,1/1/2020
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2020,January,105.15,116.74,1,1/1/2020
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2020,January,65.92,64.71,1,1/1/2020
"SAMPALOC (TAMARIND), 1 KG",2020,January,80.11,77.92,1,1/1/2020
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2020,January,48.09,46.65,1,1/1/2020
"PATOLA (SPONGE GOURD), 1 KG",2020,January,40.17,42.78,1,1/1/2020
"PATANI (LIMA BEAN), 1 KG",2020,January,45.92,47.43,1,1/1/2020
"SALUYOT (JUTE MALLOW), 1 KG",2020,January,40.88,42.35,1,1/1/2020
"KADYOS (PIGEON BEAN), 1 KG",2020,January,60.18,58.09,1,1/1/2020
"BATAW (HYACINTH BEAN), 1 KG",2020,January,50.14,48.36,1,1/1/2020
"KAMOTENG KAHOY (CASSAVA), 1 KG",2020,January,45.88,43.86,1,1/1/2020
"GABI (TARRO), 1 KG",2020,January,55.15,58.62,1,1/1/2020
"SILING-TAMBAN (BELL PEPPER), 1 KG",2020,January,80.99,80.44,1,1/1/2020
"PATATAS (POTATO), 1 KG",2020,January,70.11,68.85,1,1/1/2020
"LETTUCE (LITSUGAS), 1 KG",2020,January,90.05,88.62,1,1/1/2020
"GREEN BEANS (BAGUIO BEANS), 1 KG",2020,January,60.09,58.85,1,1/1/2020
"SILING LABUYO (RED CHILI), 1 KG",2020,January,90.05,88.27,1,1/1/2020
"KOLITIS/URAY (AMARANTH), 1 KG",2020,January,45.92,48.62,1,1/1/2020
"TOGUE (BEAN SPROUTS), 1 KG",2020,January,25.11,24.94,1,1/1/2020
"PAKO (FIDDLEHEAD FERN), 1 KG",2020,January,60.88,58.04,1,1/1/2020
"MUSHROOM (OYSTER/FRESH), 1 KG",2020,January,140.15,148.44,1,1/1/2020
"TANGLAD (LEMON GRASS), 1 KG",2020,January,14.15,16.77,1,1/1/2020
"KUTSAY (CHIVES), 1 KG",2020,January,40.03,41.62,1,1/1/2020
"LABONG (BAMBOO SHOOT), 1 KG",2020,January,50.05,47.6,1,1/1/2020
"ARARU (ARROWROOT), 1 KG",2020,January,80.99,78.42,1,1/1/2020
"KAMOTE (SWEET POTATO), 1 KG",2020,January,45.99,47.34,1,1/1/2020
"GABI (TARO), 1 KG",2020,January,50.05,51.35,1,1/1/2020
"UBE (PURPLE YAM), 1 KG",2020,January,60.12,58.09,1,1/1/2020
"SINANDOMENG RICE, 1 KG",2020,January,46.24,46.13,1,1/1/2020
"DINORADO RICE, 1 KG",2020,January,47.16,49.85,1,1/1/2020
"JASMINE RICE, 1 KG",2020,January,48.67,50.91,1,1/1/2020
"MALAGKIT (STICKY RICE), 1 KG",2020,January,52.43,52.84,1,1/1/2020
"MILAGROSA RICE, 1 KG",2020,January,44.32,43.99,1,1/1/2020
"PINAWA (BROWN RICE), 1 KG",2020,January,58.89,60.58,1,1/1/2020
"PULANG BIGAS (RED RICE), 1 KG",2020,January,56.26,57.21,1,1/1/2020
"REPOLYO (CABBAGE), 1 KG",2021,January,124.53,91.12,1,1/1/2021
"KOLIFLOWER (CAULIFLOWER), 1 KG",2021,January,117.24,135.17,1,1/1/2021
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2021,January,37.59,35.81,1,1/1/2021
"ALUGBATI (MALABAR SPINACH), 1 KG",2021,January,60.31,58.7,1,1/1/2021
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2021,January,37.94,37.42,1,1/1/2021
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2021,January,37.32,36.93,1,1/1/2021
"GABI LEAVES (DAHON NG GABI), 1 KG",2021,January,81.98,80.67,1,1/1/2021
"KANGKONG (WATER SPINACH), 1 KG",2021,January,37.74,39.24,1,1/1/2021
"MALUNGGAY (MORINGA), 1 KG",2021,January,44.79,45.44,1,1/1/2021
"BOK CHOY (CHINESE CABBAGE), 1 KG",2021,January,83.45,66.62,1,1/1/2021
"PECHAY (NATIVE), 1 KG",2021,January,76.04,72.15,1,1/1/2021
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2021,January,111.28,110.23,1,1/1/2021
"SILING LABUYO (WILD CHILI), 1 KG",2021,January,245.92,266.37,1,1/1/2021
"SIBUYAS (ONION), 1 KG",2021,January,175.76,184.11,1,1/1/2021
"LABANOS (RADISH), 1 KG",2021,January,45.08,43.48,1,1/1/2021
"SITAW (STRING BEAN), 1 KG",2021,January,50.37,52.29,1,1/1/2021
"AMPALAYA (BITTER GOURD), 1 KG",2021,January,60.2,58,1,1/1/2021
"UPO (BOTTLE GOURD), 1 KG",2021,January,50.81,48.12,1,1/1/2021
"TALONG (EGGPLANT), (NATIVE), 1 KG",2021,January,50.91,47.42,1,1/1/2021
"LUYA (GINGER), 1 KG",2021,January,120.25,130.92,1,1/1/2021
"BAWANG (GARLIC), 1 KG",2021,January,225.1,223.46,1,1/1/2021
"KAMATIS (TOMATO), 1 KG",2021,January,60.3,63.49,1,1/1/2021
"KAROT (CARROT), 1 KG",2021,January,70.9,71.46,1,1/1/2021
"BROKOLI (BROCCOLI), 1 KG",2021,January,150.32,148.05,1,1/1/2021
"SINGKAMAS (JICAMA), 1 KG",2021,January,34.78,33.46,1,1/1/2021
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2021,January,150.36,148.23,1,1/1/2021
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2021,January,60.03,63.56,1,1/1/2021
"MUSTASA (MUSTARD LEAVE), 1 KG",2021,January,44.2,44.49,1,1/1/2021
"SAYOTE (CHAYOTE), 1 KG",2021,January,37.15,37.38,1,1/1/2021
"KALABASA (SQUASH), 1 KG",2021,January,28.19,30.32,1,1/1/2021
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2021,January,22.88,23.44,1,1/1/2021
"OKRA, 1 KG",2021,January,50.36,51.96,1,1/1/2021
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2021,January,120.33,131.06,1,1/1/2021
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2021,January,70.04,68.06,1,1/1/2021
"SAMPALOC (TAMARIND), 1 KG",2021,January,85.75,83.15,1,1/1/2021
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2021,January,53.94,52.67,1,1/1/2021
"PATOLA (SPONGE GOURD), 1 KG",2021,January,45.19,47.35,1,1/1/2021
"PATANI (LIMA BEAN), 1 KG",2021,January,50.08,52.45,1,1/1/2021
"SALUYOT (JUTE MALLOW), 1 KG",2021,January,45.15,47.85,1,1/1/2021
"KADYOS (PIGEON BEAN), 1 KG",2021,January,65.15,63.44,1,1/1/2021
"BATAW (HYACINTH BEAN), 1 KG",2021,January,55.92,53.37,1,1/1/2021
"KAMOTENG KAHOY (CASSAVA), 1 KG",2021,January,50.91,49.09,1,1/1/2021
"GABI (TARRO), 1 KG",2021,January,60.11,63.52,1,1/1/2021
"SILING-TAMBAN (BELL PEPPER), 1 KG",2021,January,85.02,83.61,1,1/1/2021
"PATATAS (POTATO), 1 KG",2021,January,75.88,73.83,1,1/1/2021
"LETTUCE (LITSUGAS), 1 KG",2021,January,95.88,93.26,1,1/1/2021
"GREEN BEANS (BAGUIO BEANS), 1 KG",2021,January,65.99,63.44,1,1/1/2021
"SILING LABUYO (RED CHILI), 1 KG",2021,January,95.92,94.67,1,1/1/2021
"KOLITIS/URAY (AMARANTH), 1 KG",2021,January,50.11,53.62,1,1/1/2021
"TOGUE (BEAN SPROUTS), 1 KG",2021,January,28.01,27.54,1,1/1/2021
"PAKO (FIDDLEHEAD FERN), 1 KG",2021,January,65.99,63.09,1,1/1/2021
"MUSHROOM (OYSTER/FRESH), 1 KG",2021,January,150.99,158.43,1,1/1/2021
"TANGLAD (LEMON GRASS), 1 KG",2021,January,16.99,18.83,1,1/1/2021
"KUTSAY (CHIVES), 1 KG",2021,January,45.15,46.87,1,1/1/2021
"LABONG (BAMBOO SHOOT), 1 KG",2021,January,55.03,53.35,1,1/1/2021
"ARARU (ARROWROOT), 1 KG",2021,January,85.02,83.68,1,1/1/2021
"KAMOTE (SWEET POTATO), 1 KG",2021,January,50.05,53.6,1,1/1/2021
"GABI (TARO), 1 KG",2021,January,55.99,57.1,1,1/1/2021
"UBE (PURPLE YAM), 1 KG",2021,January,65.92,63.46,1,1/1/2021
"SINANDOMENG RICE, 1 KG",2021,January,47,48.44,1,1/1/2021
"DINORADO RICE, 1 KG",2021,January,50.74,52.5,1,1/1/2021
"JASMINE RICE, 1 KG",2021,January,51.95,53.01,1,1/1/2021
"MALAGKIT (STICKY RICE), 1 KG",2021,January,54.08,55.77,1,1/1/2021
"MILAGROSA RICE, 1 KG",2021,January,46.31,46.63,1,1/1/2021
"PINAWA (BROWN RICE), 1 KG",2021,January,63.86,64.16,1,1/1/2021
"PULANG BIGAS (RED RICE), 1 KG",2021,January,59.83,59.9,1,1/1/2021
"REPOLYO (CABBAGE), 1 KG",2022,January,86.81,81.76,1,1/1/2022
"KOLIFLOWER (CAULIFLOWER), 1 KG",2022,January,141.26,162.8,1,1/1/2022
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2022,January,35.19,37.34,1,1/1/2022
"ALUGBATI (MALABAR SPINACH), 1 KG",2022,January,71.29,57.73,1,1/1/2022
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2022,January,43.05,40.61,1,1/1/2022
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2022,January,39.51,42.28,1,1/1/2022
"GABI LEAVES (DAHON NG GABI), 1 KG",2022,January,87.1,86.79,1,1/1/2022
"KANGKONG (WATER SPINACH), 1 KG",2022,January,47.13,44.32,1,1/1/2022
"MALUNGGAY (MORINGA), 1 KG",2022,January,51.04,49.26,1,1/1/2022
"BOK CHOY (CHINESE CABBAGE), 1 KG",2022,January,71.95,67.19,1,1/1/2022
"PECHAY (NATIVE), 1 KG",2022,January,86.69,82.69,1,1/1/2022
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2022,January,120.6,118.08,1,1/1/2022
"SILING LABUYO (WILD CHILI), 1 KG",2022,January,280.9,285.96,1,1/1/2022
"SIBUYAS (ONION), 1 KG",2022,January,195.03,201.65,1,1/1/2022
"LABANOS (RADISH), 1 KG",2022,January,50.84,48.4,1,1/1/2022
"SITAW (STRING BEAN), 1 KG",2022,January,55.25,57.11,1,1/1/2022
"AMPALAYA (BITTER GOURD), 1 KG",2022,January,65.15,63.44,1,1/1/2022
"UPO (BOTTLE GOURD), 1 KG",2022,January,55.09,53.26,1,1/1/2022
"TALONG (EGGPLANT), (NATIVE), 1 KG",2022,January,55.33,52.55,1,1/1/2022
"LUYA (GINGER), 1 KG",2022,January,140.82,145.97,1,1/1/2022
"BAWANG (GARLIC), 1 KG",2022,January,240.89,236.89,1,1/1/2022
"KAMATIS (TOMATO), 1 KG",2022,January,70.03,73.5,1,1/1/2022
"KAROT (CARROT), 1 KG",2022,January,75.05,76.42,1,1/1/2022
"BROKOLI (BROCCOLI), 1 KG",2022,January,160.99,158.05,1,1/1/2022
"SINGKAMAS (JICAMA), 1 KG",2022,January,37.95,36.33,1,1/1/2022
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2022,January,160.4,157.62,1,1/1/2022
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2022,January,65.71,67.69,1,1/1/2022
"MUSTASA (MUSTARD LEAVE), 1 KG",2022,January,47.34,47.85,1,1/1/2022
"SAYOTE (CHAYOTE), 1 KG",2022,January,40.09,40.09,1,1/1/2022
"KALABASA (SQUASH), 1 KG",2022,January,32.19,34.54,1,1/1/2022
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2022,January,25.07,25.72,1,1/1/2022
"OKRA, 1 KG",2022,January,55.07,57.42,1,1/1/2022
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2022,January,140.99,150.95,1,1/1/2022
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2022,January,75.91,73.06,1,1/1/2022
"SAMPALOC (TAMARIND), 1 KG",2022,January,90.15,88.43,1,1/1/2022
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2022,January,58.07,57.27,1,1/1/2022
"PATOLA (SPONGE GOURD), 1 KG",2022,January,50.11,52.22,1,1/1/2022
"PATANI (LIMA BEAN), 1 KG",2022,January,55.12,57.34,1,1/1/2022
"SALUYOT (JUTE MALLOW), 1 KG",2022,January,50.88,52.76,1,1/1/2022
"KADYOS (PIGEON BEAN), 1 KG",2022,January,70.05,69.34,1,1/1/2022
"BATAW (HYACINTH BEAN), 1 KG",2022,January,60.91,58.01,1,1/1/2022
"KAMOTENG KAHOY (CASSAVA), 1 KG",2022,January,55.03,53.85,1,1/1/2022
"GABI (TARRO), 1 KG",2022,January,65.92,68.67,1,1/1/2022
